label,actual_n,linear_only_svm,tree,xgboostrf
0,2051.0,0.9907362262311068,0.9658703071672355,0.9868356899073623
1,14.0,0.14285714285714285,1.0,0.0
3,67.0,0.8805970149253731,0.9701492537313433,0.8507462686567164
4,5.0,0.2,0.6,0.0
5,104.0,0.7884615384615384,0.8461538461538461,0.5769230769230769
6,19.0,0.7368421052631579,0.0,0.3684210526315789
7,41.0,0.6829268292682927,0.9024390243902439,0.4878048780487805
8,68.0,0.6176470588235294,0.8235294117647058,0.0
9,2.0,0.0,0.5,0.0
10,26.0,0.6153846153846154,0.8076923076923077,0.5384615384615384
11,46.0,0.8695652173913043,1.0,0.717391304347826
12,19.0,0.5263157894736842,0.8947368421052632,0.10526315789473684
13,72.0,0.7222222222222222,0.8472222222222222,0.4166666666666667
14,9.0,0.5555555555555556,1.0,0.0
15,40.0,0.9,0.825,0.575
16,101.0,0.8712871287128713,0.8217821782178217,0.7227722772277227
17,26.0,0.9230769230769231,0.8461538461538461,0.4230769230769231
18,18.0,0.6666666666666666,0.3333333333333333,0.0
